time_res: 6.4e-05
Time taken to load models: 10.02s
Processing file: /hercules/results/atya/BinaryML/sims/runBF/dat_inf_files/obs6927BF.dat
Time taken to do fft and normalize: 1.28s
T_obs: 17.895697066666667
freq_res: 0.0009313225746154785
fft_size: 8388609
Number of signals found: 1286
Time taken for search: 30.28s

---------------------------------------------------------------------------
Index          f Value        period [ms]    z Value        Start Index    Confidence
---------------------------------------------------------------------------
1              23.957220      9.388813       15.827286      114340         4845.303126    
2              24.784010      4.693855       9.412081       228730         1196.250201    
3              30.399227      4.860091       12.930916      220900         724.374152     
4              26.886293      1.855255       9.210590       578730         673.460587     
5              28.953352      1.317218       4.258420       815130         609.367540     
6              26.445784      5.304093       11.692122      202410         605.361029     
7              27.530659      1.422858       7.347369       754610         603.060956     
8              26.630632      6.703905       8.722525       160140         579.746426     
9              27.306170      15.575628      20.345554      68910          571.137782     
10             23.781527      2.853391       17.058105      376280         558.368538     
11             26.488058      1.644935       15.349324      652730         550.564237     
12             28.117069      2.284518       18.351686      469980         545.788904     
13             28.684263      6.102932       8.113325       175910         543.951062     
14             27.383471      2.180552       14.923856      492390         542.989760     
15             24.284315      6.701911       22.163811      160190         525.794364     
16             26.840313      12.532463      15.883561      85650          516.432635     
17             23.937286      11.151827      17.034935      96260          512.661972     
18             23.992710      2.446528       14.130799      438860         509.406811     
19             29.012222      2.409876       15.030754      445530         493.133703     
20             30.100046      2.103314       6.434445       510470         491.960221     
21             25.838018      1.295763       3.106290       828630         485.649486     
22             30.232956      8.580309       14.296362      125110         483.098104     
23             23.832981      2.674633       9.937143       401430         474.489348     
24             29.320269      1.115345       9.135789       962670         473.639406     
25             25.740879      1.218160       12.021007      881420         469.098560     
26             27.932501      3.613492       2.477449       297120         469.048084     
27             29.247408      9.569956       12.374510      112170         468.433989     
28             28.036343      7.211256       6.660825       148870         457.750594     
29             29.519388      11.342001      9.134357       94640          457.641646     
30             28.899090      8.890144       15.843140      120750         457.558797     
31             27.427038      1.371060       20.975060      783120         456.718173     
32             27.679977      1.181978       6.573236       908400         456.549201     
33             26.473181      1.105655       13.825348      971110         455.549646     
34             25.671177      1.650220       8.775780       650640         455.223935     
35             25.171900      1.050715       17.944876      1021890        454.369600     
36             27.722944      1.242070       15.759474      864450         453.676540     
37             26.350481      1.956254       4.758093       548850         453.550147     
38             29.501024      1.154313       6.468298       930170         452.914162     
39             26.163769      3.327511       18.102203      322660         449.371620     
40             27.672298      2.897794       11.768414      370510         447.584706     
41             28.939188      1.059441       8.397353       1013470        447.465445     
42             28.346806      1.422950       14.899262      754560         444.836583     
43             25.392736      2.233633       11.600615      480690         444.282101     
44             28.640499      1.419188       14.899309      756560         436.468665     
45             24.458078      5.537764       15.892579      193870         433.889982     
46             28.354445      1.235594       3.070849       868980         432.392458     
47             25.592539      1.012815       14.379452      1060130        428.647209     
48             29.947124      1.154536       9.288507       929990         425.970152     
49             27.628239      1.767134       16.763920      607590         424.619284     
50             28.340971      1.723617       8.173502       622930         423.179220     
51             25.915964      13.518784      8.202776       79400          422.641164     
52             28.654785      1.643419       11.564878      653330         422.085549     
53             26.783365      1.593640       8.071660       673740         420.278870     
54             29.428402      12.834678      15.031422      83630          418.971303     
55             29.125937      2.495744       11.001724      430200         418.022374     
56             27.198841      1.910412       20.414940      562020         416.502133     
57             24.475653      9.854958       7.331426       108930         415.765746     
58             25.954056      2.209364       11.580688      485970         414.095755     
59             27.437031      3.852162       15.617300      278710         413.963144     
60             25.024851      3.531871       15.678796      303990         409.934561     
61             26.215502      2.733446       13.044431      392790         408.261266     
62             28.036627      1.131508       18.493017      948920         405.708681     
63             24.684591      1.111678       10.804115      965850         404.250041     
64             28.693327      1.507877       9.038949       712060         403.883434     
65             27.212727      5.075660       16.559683      211520         395.861002     
66             30.100710      2.143454       9.260889       500910         394.866590     
67             26.808729      2.472938       14.712761      434170         390.452182     
68             27.172562      14.727520      4.797522       72880          386.700467     
69             26.007189      1.431606       17.055752      750000         386.098264     
70             26.926226      2.165601       3.122738       495790         384.271641     
71             27.908453      1.711967       19.580286      627170         382.763253     
72             26.520565      2.422339       16.767262      443240         381.112012     
73             28.411100      1.057740       15.688844      1015100        380.647601     
74             26.789530      1.186040       17.431820      905290         380.208540     
75             27.612909      4.305169       14.038929      249380         378.550486     
76             27.175161      2.992949       18.782902      358730         377.622853     
77             26.653004      2.696173       10.527992      398220         375.497945     
78             29.267427      2.097442       12.284023      511900         374.530912     
79             29.332895      4.301517       7.922574       249590         373.111477     
80             27.516737      3.155210       4.503984       340280         369.928885     
81             24.828957      8.096085       11.770644      132600         369.338160     
82             27.701723      1.889101       11.011406      568360         368.852063     
83             25.441582      1.541038       14.846354      696740         367.243879     
84             28.227001      3.117371       11.988462      344410         366.916910     
85             24.764151      6.772057       12.009501      158530         366.695319     
86             27.943876      1.154613       12.289111      929930         365.860729     
87             28.280313      23.651597      12.595232      45370          365.733841     
88             26.190454      3.007628       11.975834      356980         364.241532     
89             28.055349      1.128179       19.737934      951720         362.901009     
90             26.681042      1.452265       12.731041      739330         360.696997     
91             26.377733      3.534529       20.164501      303760         360.597184     
92             28.677546      1.576092       15.058518      681240         358.287597     
93             28.379099      1.498743       14.742319      716400         357.882438     
94             27.925333      1.819199       11.360616      590200         357.471133     
95             27.541822      20.037154      14.246052      53560          357.402776     
96             26.085747      7.914593       16.084476      135640         356.156930     
97             28.636435      1.133167       10.193434      947530         355.982025     
98             28.692930      4.166979       12.022639      257650         355.213809     
99             27.905500      1.362378       9.581984       788110         355.211406     
100            25.642292      1.512684       9.425060       709800         354.628934     
101            27.457558      1.136358       11.925893      944870         354.570635     
102            24.451651      1.620145       14.379812      662720         351.916331     
103            27.643797      1.547117       13.981348      694000         351.478000     
104            28.399240      1.369641       14.223822      783930         351.448111     
105            28.348520      3.043414       13.872936      352780         351.343947     
106            27.847805      3.463596       4.143919       309980         351.072472     
107            27.686316      1.590569       2.800971       675040         347.147425     
108            28.012066      1.622658       1.968385       661690         346.393923     
109            27.247892      6.477016       8.922609       165750         344.952770     
110            28.306438      2.431105       17.158934      441640         341.670976     
111            28.769777      6.105705       16.237354      175830         341.148001     
